Age,Gender,nationality,Ethnicity,Education,Income,State,BFAS_1,BFAS_2,BFAS_3,BFAS_4,BFAS_5,BFAS_6,BFAS_7,BFAS_8,BFAS_9,BFAS_10,BFAS_11,BFAS_12,BFAS_13,BFAS_14,BFAS_15,BFAS_16,BFAS_17,BFAS_18,BFAS_19,BFAS_20,BFAS_21,BFAS_22,BFAS_23,BFAS_24,BFAS_25,BFAS_26,BFAS_27,BFAS_28,BFAS_29,BFAS_30,BFAS_31,BFAS_32,BFAS_33,BFAS_34,BFAS_35,BFAS_36,BFAS_37,BFAS_38,BFAS_39,BFAS_40,BFAS_41,BFAS_42,BFAS_43,BFAS_44,BFAS_45,BFAS_46,BFAS_47,BFAS_48,BFAS_49,BFAS_50,BFAS_51,BFAS_52,BFAS_53,BFAS_54,BFAS_55,BFAS_56,BFAS_57,BFAS_58,BFAS_59,BFAS_60,BFAS_61,BFAS_62,BFAS_63,BFAS_64,BFAS_65,BFAS_66,BFAS_67,BFAS_68,BFAS_69,BFAS_70,BFAS_71,BFAS_72,BFAS_73,BFAS_74,BFAS_75,BFAS_76,BFAS_77,BFAS_78,BFAS_79,BFAS_80,BFAS_81,BFAS_82,BFAS_83,BFAS_84,BFAS_85,BFAS_86,BFAS_87,BFAS_88,BFAS_89,BFAS_90,BFAS_91,BFAS_92,BFAS_93,BFAS_94,BFAS_95,BFAS_96,BFAS_97,BFAS_98,BFAS_99,BFAS_100,FPPosture1,FPPosture2,FPPosture3,FPPosture4,FPPosture5,FPPosture6,FPPosture7,FPPosture8,FPPosture9,FPPosture10,FPPosture11,FPPosture12,FPPosture13,FPPosture14,FPPosture15,FPPosture16,FPPosture17,FPPosture18,FPPosture19,FPPosture20,SECS_1,SECS_2,SECS_3,SECS_4,SECS_5,SECS_6,SECS_7,SECS_8,SECS_9,SECS_10,SECS_11,SECS_12
48,1,US,1,5,2,OH,2,3,3,4,4,4,4,3,4,4,3,3,2,3,2,3,3,4,3,3,3,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,4,2,3,4,3,2,3,4,2,3,3,3,2,3,4,3,3,4,3,4,2,4,4,2,2,4,3,2,3,4,3,4,3,3,2,3,2,4,2,3,4,3,3,3,3,4,2,3,4,2,4,4,3,2,4,2,3,5,5,4,4,4,4,5,5,4,4,4,5,4,4,5,5,5,4,3,4,41,60,64,74,35,65,85,62,75,69,74,66
26,0,US,2,6,4,american,3,4,3,3,3,3,5,1,3,4,2,4,4,2,2,4,3,2,2,3,1,2,3,3,3,4,3,2,2,3,3,3,2,3,5,2,4,3,4,2,2,4,2,3,3,4,2,4,3,4,2,3,3,2,2,3,2,3,2,2,4,2,4,4,3,3,2,3,3,3,3,4,2,3,2,3,1,3,3,2,2,2,3,3,3,2,4,3,4,1,3,3,3,3,2,3,4,3,4,3,3,5,3,5,4,3,2,4,3,5,5,5,5,3,3,3,4,2,4,5,6,69,47,84,22,65,75,74,60,40,73,63
57,1,US,1,5,4,Texas,2,2,3,4,5,3,4,2,4,5,4,3,3,3,2,2,2,4,3,5,1,4,1,2,3,4,4,3,3,3,5,2,3,3,4,1,2,4,5,4,3,5,5,3,2,4,5,1,2,2,4,3,1,2,2,3,4,3,3,2,3,1,4,3,3,3,3,2,4,4,2,4,3,4,4,1,3,3,2,1,5,2,2,4,2,5,2,4,3,1,4,4,3,5,5,4,2,4,1,5,5,4,5,4,6,7,5,6,7,1,4,4,6,2,5,7,6,5,2,6,69,57,73,62,35,66,69,51,58,71,78,42
56,1,US,5,8,6,WA,2,3,3,4,4,5,4,3,3,3,5,3,2,3,3,1,3,3,5,4,3,3,4,2,4,4,5,5,3,3,3,3,3,3,5,2,3,3,4,2,3,4,4,3,2,5,4,2,2,4,3,2,3,3,2,4,4,4,4,3,4,3,3,2,3,4,2,3,3,4,2,4,3,4,4,2,2,2,2,2,4,2,3,4,3,5,1,4,4,3,3,3,3,3,3,4,3,3,3,4,5,4,6,6,4,4,4,4,4,3,4,5,4,3,5,4,5,4,3,5,29,59,72,84,32,70,74,72,63,73,80,64
41,0,US,2,5,6,taxes,1,2,4,4,5,5,4,1,4,4,5,5,1,1,2,1,1,4,4,4,2,4,2,2,5,4,5,4,2,5,4,1,1,2,5,2,2,4,5,5,2,5,5,4,1,4,4,1,2,1,4,2,2,1,1,2,5,5,5,2,4,2,5,2,5,5,2,1,5,5,2,4,4,4,4,1,2,1,1,1,5,2,2,5,2,4,2,4,4,2,5,4,1,5,4,5,2,4,2,4,7,6,6,6,5,6,5,7,6,2,7,6,6,1,6,6,7,5,1,7,27,64,84,75,18,82,73,83,78,81,71,84
48,0,US,1,10,4,NC,3,2,3,4,3,3,3,2,4,4,3,2,2,3,3,3,4,4,2,3,2,4,2,3,3,4,3,4,2,2,3,3,3,3,3,2,3,3,4,3,2,4,3,4,3,3,4,3,3,3,4,3,2,3,3,2,3,4,3,2,2,3,4,3,3,3,3,3,4,4,3,4,3,4,3,2,3,2,3,2,4,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,3,3,2,4,5,4,4,3,5,4,4,5,5,4,4,5,5,3,4,4,4,4,3,4,25,72,73,69,23,72,77,68,73,74,65,73
42,0,US,2,8,3,usa,1,1,5,5,4,5,4,2,5,5,5,5,1,1,1,1,1,3,4,4,1,5,2,1,5,5,5,4,2,5,5,2,2,2,4,2,1,4,5,4,2,4,4,5,2,5,4,3,2,1,5,3,1,1,2,2,3,4,5,2,5,1,4,1,4,5,1,2,4,4,2,4,4,5,4,2,3,2,1,1,5,1,1,5,2,5,1,5,5,2,5,5,2,4,4,5,2,4,2,5,6,7,5,7,6,6,7,7,6,1,7,6,7,2,6,6,6,6,1,7,37,81,100,90,9,71,79,75,100,79,96,97
48,1,US,1,7,7,NORTH CAROLINA,2,2,4,4,5,4,5,3,4,4,4,5,2,2,3,2,3,5,5,4,1,5,3,1,3,4,5,4,2,4,3,2,2,2,3,1,3,3,3,5,2,4,3,5,3,5,5,3,2,2,4,2,2,2,2,3,4,4,3,2,4,1,3,2,3,4,3,1,4,5,2,4,4,3,5,2,2,1,2,2,3,2,3,4,3,4,1,4,5,3,3,4,1,3,3,5,1,3,1,5,7,5,6,5,5,6,7,7,6,4,6,6,4,3,5,6,6,5,3,7,25,90,70,72,26,89,87,77,73,84,89,78
31,1,US,3,6,4,Tx,1,1,5,5,5,5,4,2,5,5,5,5,2,1,3,1,1,4,4,4,1,5,1,1,5,4,5,5,1,5,4,1,1,2,5,2,2,5,5,4,1,4,5,5,1,4,5,1,2,2,4,1,1,2,2,1,4,4,5,1,4,1,5,2,4,5,2,2,5,4,1,4,4,4,5,1,2,2,1,1,4,2,1,5,1,4,1,4,4,1,5,4,2,4,4,4,2,4,1,5,6,7,5,5,6,7,6,7,6,2,7,7,5,2,5,6,5,7,1,5,49,95,89,71,13,83,81,79,82,80,91,89
48,0,US,1,8,4,NC,1,2,4,5,4,4,5,2,5,4,5,4,2,1,2,2,2,5,4,5,1,4,2,2,4,3,5,5,2,5,4,2,1,2,5,1,1,5,4,5,3,5,5,4,2,5,4,2,1,1,4,2,2,2,2,1,5,4,4,2,4,2,5,2,5,4,1,2,4,5,2,5,5,4,4,1,2,2,2,1,4,1,2,5,2,4,2,4,4,2,5,4,2,5,5,4,1,4,2,3,4,4,4,5,5,5,4,5,4,4,4,5,4,4,4,5,4,5,3,5,60,64,69,72,30,70,67,45,61,66,75,71
