Age,Gender,Nationality,Ethnicity,Education,Income,State,BFAS_1,BFAS_2,BFAS_3,BFAS_4,BFAS_5,BFAS_6,BFAS_7,BFAS_8,BFAS_9,BFAS_10,BFAS_11,BFAS_12,BFAS_13,BFAS_14,BFAS_15,BFAS_16,BFAS_17,BFAS_18,BFAS_19,BFAS_20,BFAS_21,BFAS_22,BFAS_23,BFAS_24,BFAS_25,BFAS_26,BFAS_27,BFAS_28,BFAS_29,BFAS_30,BFAS_31,BFAS_32,BFAS_33,BFAS_34,BFAS_35,BFAS_36,BFAS_37,BFAS_38,BFAS_39,BFAS_40,BFAS_41,BFAS_42,BFAS_43,BFAS_44,BFAS_45,BFAS_46,BFAS_47,BFAS_48,BFAS_49,BFAS_50,BFAS_51,BFAS_52,BFAS_53,BFAS_54,BFAS_55,BFAS_56,BFAS_57,BFAS_58,BFAS_59,BFAS_60,BFAS_61,BFAS_62,BFAS_63,BFAS_64,BFAS_65,BFAS_66,BFAS_67,BFAS_68,BFAS_69,BFAS_70,BFAS_71,BFAS_72,BFAS_73,BFAS_74,BFAS_75,BFAS_76,BFAS_77,BFAS_78,BFAS_79,BFAS_80,BFAS_81,BFAS_82,BFAS_83,BFAS_84,BFAS_85,BFAS_86,BFAS_87,BFAS_88,BFAS_89,BFAS_90,BFAS_91,BFAS_92,BFAS_93,BFAS_94,BFAS_95,BFAS_96,BFAS_97,BFAS_98,BFAS_99,BFAS_100,FPPosture1,FPPosture2,FPPosture3,FPPosture4,FPPosture5,FPPosture6,FPPosture7,FPPosture8,FPPosture9,FPPosture10,FPPosture11,FPPosture12,FPPosture13,FPPosture14,FPPosture15,FPPosture16,FPPosture17,FPPosture18,FPPosture19,FPPosture20,SECS_1,SECS_2,SECS_3,SECS_4,SECS_5,SECS_6,SECS_7,SECS_8,SECS_9,SECS_10,SECS_11,SECS_12
25,0,US,White,2,5,MI,2,4,4,4,4,2,4,4,4,4,2,4,4,4,4,2,4,4,3,2,2,4,4,4,4,2,4,4,4,4,2,4,4,4,4,2,4,4,3,2,4,4,4,4,4,2,4,3,4,4,2,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,3,2,2,2,4,4,4,4,2,4,4,4,2,2,4,4,4,4,2,3,4,4,2,2,4,4,3,4,2,4,4,2,2,4,4,3,3,4,3,4,4,3,3,3,5,5,5,6,6,3,3,2,5,70,50,50,50,70,80,50,50,50,50,50,75
26,0,US,Hispanic,5,4,CA,4,3,3,3,4,4,3,3,3,5,3,2,2,4,5,4,3,4,4,1,5,4,4,3,3,4,4,3,3,4,3,4,2,3,4,4,4,3,2,5,4,3,4,3,4,3,3,4,3,2,3,3,3,3,4,4,3,4,3,3,2,3,3,4,3,4,2,3,3,4,3,3,3,4,3,4,2,3,3,3,2,3,3,4,4,4,2,4,2,5,2,4,3,4,3,4,3,4,4,3,6,6,6,6,6,6,4,4,2,6,4,4,4,4,4,4,6,4,6,6,51,51,0,53,49,0,0,55,53,54,0,45
37,0,US,White,8,6,MA,2,4,4,4,4,1,4,4,5,5,2,4,4,5,5,2,2,4,4,4,2,4,5,5,4,1,4,4,5,4,2,5,5,4,4,2,4,4,5,4,2,4,4,4,4,2,2,5,5,4,1,5,2,4,2,2,4,4,5,5,4,5,4,5,4,1,5,4,4,4,2,4,4,4,4,4,5,4,4,4,1,4,4,4,5,2,2,4,4,4,2,4,5,4,4,1,5,4,5,5,6,6,6,5,7,5,5,6,5,4,6,5,5,2,2,5,3,3,5,5,8,31,92,50,58,50,91,91,90,81,96,95
57,1,US,White,2,5,MA,3,4,5,3,5,2,5,5,3,4,1,4,5,3,4,4,5,5,2,4,2,4,5,4,4,2,4,5,3,3,2,4,5,3,4,2,5,5,2,4,3,4,5,4,4,2,4,5,5,2,4,5,5,3,5,2,5,5,4,4,1,5,4,4,4,2,5,5,3,3,5,5,4,4,4,2,5,1,3,2,2,5,5,4,4,2,5,4,3,2,2,4,5,4,4,4,5,5,2,5,4,4,5,4,3,5,6,5,3,5,6,3,7,5,2,4,1,2,2,5,93,82,89,94,71,87,98,97,82,75,97,95
27,1,US,Black,8,7,NY,5,5,4,2,3,4,5,2,2,1,5,4,3,1,5,5,4,4,1,3,4,3,3,1,1,5,5,3,3,5,3,4,2,1,2,4,5,5,3,5,5,4,5,1,3,4,3,4,1,3,5,3,4,4,3,1,5,5,3,3,5,4,4,2,4,5,4,4,4,4,5,4,2,3,4,5,5,5,1,5,5,5,3,2,3,5,2,4,3,5,5,4,2,3,3,5,3,4,1,4,4,6,5,4,4,4,4,4,5,2,4,4,7,4,4,4,4,4,6,4,50,50,50,50,60,60,38,35,50,36,60,14
30,1,US,White,6,6,NC,4,4,3,2,4,2,4,2,2,4,4,4,2,4,3,3,4,3,2,4,2,4,2,4,4,2,4,2,2,4,2,4,3,4,4,2,4,2,2,4,4,5,3,3,4,2,4,2,2,4,4,4,3,4,3,2,4,2,2,4,4,4,3,3,2,3,4,4,3,2,5,4,2,4,4,3,5,4,2,4,4,4,1,4,4,2,5,4,2,5,4,4,2,4,2,2,2,2,1,4,6,6,6,6,6,4,2,3,4,4,2,3,3,2,4,4,5,5,6,6,12,41,33,19,25,3,50,31,64,21,51,51
61,1,US,White,6,6,FL,4,4,5,2,5,1,5,1,3,5,4,5,2,2,3,2,2,2,2,5,2,5,4,1,5,2,4,2,4,4,4,5,4,2,4,2,5,2,3,5,5,5,4,4,3,4,5,3,2,3,4,5,5,2,5,2,5,3,2,4,2,4,2,2,3,4,5,2,4,5,3,4,2,5,3,4,5,4,2,2,5,4,2,4,4,2,5,5,4,5,4,4,2,4,4,1,5,4,2,5,3,5,4,3,6,4,3,5,3,3,4,5,6,3,5,5,3,4,4,3,82,69,51,86,38,62,61,64,62,51,100,51
32,0,US,Other,6,5,NY,5,4,4,1,2,3,4,4,2,3,4,3,3,1,3,4,5,4,1,3,5,4,4,1,2,3,5,4,1,3,4,4,4,1,2,2,4,4,1,2,5,4,4,1,4,2,4,4,2,2,5,4,4,1,4,3,4,3,2,4,4,5,3,1,2,3,4,4,2,2,5,4,2,1,2,5,5,5,1,3,4,4,3,2,3,3,5,4,1,3,5,3,4,1,3,3,4,4,1,3,6,7,6,4,7,1,1,1,1,1,1,2,2,4,5,4,4,4,5,5,0,0,15,0,0,0,50,50,75,25,50,10
71,1,US,White,6,2,MA,1,4,5,2,5,3,4,5,4,5,4,4,4,4,5,4,3,5,5,5,1,4,5,1,4,3,5,5,3,5,4,4,5,2,3,3,5,4,3,4,2,4,5,3,5,2,4,5,5,5,4,5,5,4,4,4,4,4,3,5,2,5,5,5,4,3,5,5,3,5,3,4,3,5,5,4,5,4,5,5,3,5,5,4,4,3,5,4,4,5,2,4,5,5,5,4,5,4,4,5,1,3,3,2,1,4,6,6,4,7,7,5,7,7,4,6,1,1,1,2,99,84,99,99,64,99,98,98,98,98,100,98
29,0,US,White,5,6,FL,2,4,4,4,4,2,4,4,4,3,2,4,4,4,4,2,4,4,4,3,2,4,4,5,4,1,3,4,4,3,3,4,4,4,5,2,4,4,4,5,2,4,4,4,4,2,1,3,4,4,2,4,2,2,3,2,4,2,4,3,2,4,4,4,4,2,4,2,2,5,2,3,4,4,4,2,4,4,4,3,2,4,5,4,4,2,3,4,4,3,1,4,4,4,4,2,4,4,4,4,6,4,3,3,3,4,2,2,4,4,5,5,6,5,4,5,2,3,3,4,79,5,56,0,90,0,58,57,51,65,74,58
